title,description,difficulty,equipment,body_part
Front Lever Hold,Hold front lever position for 15 seconds.,Hard,Pull Up Bar,core
Muscle-Up Negatives,"Perform slow lowering of muscle-ups, 8 reps.",Hard,Pull Up Bar,back
Weighted Plank,"Hold a plank with added weight for 30 seconds.",Hard,None,core
Handstand Push Ups,"Perform handstand push ups against a wall, 8 reps.",Hard,None,shoulder
Bulgarian Split Squats,Perform Bulgarian split squats for 10 reps each leg.,Hard,Bench,legs
Diamond Push Ups,Perform 15 diamond push ups.,Medium,None,chest
Russian Twists,"Twist torso side to side while seated, 20 reps each side.",Medium,None,core
Goblet Squats,"Hold a dumbbell at chest and squat, 15 reps.",Medium,Dumbbell,legs
Mountain Climbers,"Perform mountain climbers for 1 minute.",Medium,None,core
Walking Lunges,"Step forward lunging, 20 reps each leg.",Medium,None,legs
Triceps Dips,"Dip body between two chairs, 15 reps.",Medium,Chair,arms
Superman Hold,"Lie face down and lift arms/legs, hold 30 seconds.",Easy,None,back
Plank Shoulder Taps,"Tap alternate shoulders in plank, 20 reps.",Medium,None,core
Reverse Crunches,"Lift hips upward, 20 reps.",Easy,None,core
Resistance Band Row,"Pull resistance band to chest, 15 reps.",Medium,Resistance Band,back
Seated Shoulder Press,"Press dumbbells overhead, 12 reps.",Medium,Dumbbells,shoulder
Incline Push Ups,"Push ups with hands on bench, 15 reps.",Easy,Bench,chest
Decline Push Ups,"Push ups with feet on bench, 12 reps.",Medium,Bench,chest
Crunches,"Lie on back and crunch up, 20 reps.",Easy,None,core
Lateral Band Walks,"Step sideways with resistance band, 15 each side.",Medium,Resistance Band,legs
Jump Squats,"Do squats while jumping up explosively, 15 reps.",Hard,None,legs
Incline Dumbbell Curl,"Bicep curl on incline bench, 15 reps.",Medium,Dumbbells,arms
Bench Dips,"Dip off bench, 15 reps.",Medium,Bench,arms
Toe Touch Jumps,"Jump and touch toes, 20 reps.",Easy,None,legs
Hip Thrusts,"Lift hips with back on bench, 15 reps.",Medium,Bench,glutes
Half Burpees,"Jump back and stand up, 20 reps.",Medium,None,full body
Chest Fly,"Open dumbbells out lying on bench, 12 reps.",Medium,Dumbbells,chest
Skater Hops,"Hop side to side, 20 reps.",Medium,None,legs
Bear Crawl,"Crawl forward and back for 1 minute.",Medium,None,core
Side Plank,"Hold side plank each side for 30 seconds.",Medium,None,core
Donkey Kicks,"On all fours, kick leg upward, 15 each leg.",Easy,None,glutes
Stationary Bike Sprints,"Sprint on stationary bike, 1 min.",Hard,Bike,legs
Box Push Ups,"Push ups with hands on box, 15 reps.",Medium,Box,chest
Raised Leg Crunch,"Crunch with legs raised to 90 degrees, 15 reps.",Easy,None,core
Cable Rows,"Row using cable machine, 15 reps.",Hard,Cable Machine,back
Sled Drag,"Drag weighted sled for 20 meters.",Hard,Sled,legs
Ankle Taps,"Tap opposite ankles from plank, 20 reps.",Easy,None,core
Reverse Lunges,"Step backward lunging, 12 each leg.",Medium,None,legs
Standing Resistance Curl,"Standing bicep curl with resistance band, 15 reps.",Easy,Resistance Band,arms
Tripod Push Ups,"Push up with one leg raised, 10 reps each.",Hard,None,chest
Back Extensions,"Extend spine on bench, 15 reps.",Medium,Bench,back
Tuck Jumps,"Jump and bring knees to chest, 15 reps.",Hard,None,legs
Side Shuffle,"Fast side steps for 1 minute.",Easy,None,legs
Sumo Squat,"Wide-stance squat for 15 reps.",Medium,None,legs
Farmer’s Walk,"Carry heavy weights, walk 30 meters.",Hard,Dumbbells,full body
Heel Raises,"Raise heel standing on one leg, 15 each.",Easy,None,legs
Oblique Crunch,"Crunch knee to elbow, 15 each side.",Easy,None,core
Weighted Sit Ups,"Sit ups holding a weight, 12 reps.",Medium,Weight Plate,core
Dumbbell Pullover,"Lie on bench, dumbbell overhead pull, 12 reps.",Medium,Dumbbell,chest
Jump Rope,"Skip rope fast for 2 minutes.",Medium,Jump Rope,full body
Wrist Curls,"Seated curl wrist with dumbbells, 20 reps.",Easy,Dumbbells,arms
Kettlebell Deadlift,"Deadlift with kettlebell, 12 reps.",Medium,Kettlebell,legs
Palms-In Pull Ups,"Pull up with palms facing in, 8 reps.",Hard,Pull Up Bar,back
Box Sit Ups,"Sit ups sitting on or against box, 20 reps.",Easy,Box,core

